rank,type,name,full_name,description,stars,confidence,reason,html_url,selected
1,General,Mental-Health-Support-Chatbot,Vikranth3140/Mental-Health-Support-Chatbot,"A Mental Health Support Chatbot built using Streamlit and OpenAI's GPT-3.5-turbo model. It provides mental health support through a chat interface, offering sentiment analysis, mood tracking, and personalized coping strategies based on user input.",36,0.894,"User app: uses_streamlit, user_setup, user_api_config",https://github.com/Vikranth3140/Mental-Health-Support-Chatbot,
2,General,web-ui,browser-use/web-ui,🖥️ Run AI Agent in your browser.,14713,0.844,"User app: uses_gradio, user_setup, user_api_config",https://github.com/browser-use/web-ui,
3,General,100x-orchestrator,aj47/100x-orchestrator,An orchestration system for managing AI coding agents. The system uses Aider (an AI coding assistant) to handle coding tasks and provides real-time monitoring of agent outputs through a user-friendly interface.,94,0.825,"User app: uses_flask, user_setup, user_api_config",https://github.com/aj47/100x-orchestrator,
4,General,gpt-assistants-api-ui,ryo-ma/gpt-assistants-api-ui,💬 OpenAI Assistants API chat UI  🛠️ It works easily by setting the ASSISTANT ID  📁 Supports file upload and file download 🏃 Supports Streaming API 🪟 Support to Azure OpenAI,251,0.808,"User app: openai_agent_app, uses_streamlit, user_setup",https://github.com/ryo-ma/gpt-assistants-api-ui,
5,General,AI-Talks,dKosarevsky/AI-Talks,AI Talks - ChatGPT Assistant via Streamlit,303,0.789,"User app: uses_streamlit, user_setup, user_api_config",https://github.com/dKosarevsky/AI-Talks,
6,General,openai-autogen-dev-studio,ivangabriele/openai-autogen-dev-studio,OADS: Generate games and programs using OpenAI agents. Built on top of Microsoft Autogen.,157,0.782,"User app: openai_agent_app, user_setup, user_api_config",https://github.com/ivangabriele/openai-autogen-dev-studio,
7,General,postgres-chatbot,BlueBash/postgres-chatbot,"This Streamlit application allows users to interact with their PostgreSQL database using natural language queries. Users can type questions in natural language, which the app translates into SQL queries executed against the database. The results are then displayed in the chat interface. Powered by Google Generative AI and LangChain's SQL agent tool",17,0.762,"User app: uses_streamlit, user_setup, ui_in_description",https://github.com/BlueBash/postgres-chatbot,
8,General,appdaemon-coversmanager,mguyard/appdaemon-coversmanager,AppDaemon App to manage your covers with Home Assistant,8,0.759,"User app: user_setup, user_api_config, ui_in_name",https://github.com/mguyard/appdaemon-coversmanager,
9,General,agent-app-aws,agno-agi/agent-app-aws,,16,0.75,"User app: uses_streamlit, uses_fastapi, user_setup",https://github.com/agno-agi/agent-app-aws,
10,General,gpt-home,judahpaul16/gpt-home,ChatGPT at home! Basically a better Google Nest Hub or Amazon Alexa home assistant. Built on the Raspberry Pi using the OpenAI API.,598,0.73,"User app: uses_fastapi, user_setup, ui_in_description",https://github.com/judahpaul16/gpt-home,
11,General,Ovis2-8B-,SUP3RMASS1VE/Ovis2-8B-,"This project provides a Gradio-based interface for interacting with the Ovis2-8B model. The script allows users to load the model, process image and video inputs, and generate text-based responses using a conversational chatbot.",5,0.725,"User app: uses_gradio, user_setup, ui_in_description",https://github.com/SUP3RMASS1VE/Ovis2-8B-,
12,General,django-email-signals,Salaah01/django-email-signals,A Django app that allows users to dynamically send emails whenever there are some changes on some tables.,21,0.717,"User app: uses_django, user_setup, ui_in_description",https://github.com/Salaah01/django-email-signals,
13,General,shell_gpt,TheR1D/shell_gpt,"A command-line productivity tool powered by AI large language models like GPT-4, will help you accomplish your tasks faster and more efficiently.",11280,0.715,"User app: user_setup, user_api_config",https://github.com/TheR1D/shell_gpt,
14,General,shell-gpt,find-xposed-magisk/shell-gpt,"A command-line productivity tool powered by AI large language models like GPT-4, will help you accomplish your tasks faster and more efficiently.由 GPT-4 等 AI 大型语言模型提供支持的命令行生产力工具将帮助您更快、更高效地完成任务",17,0.715,"User app: user_setup, user_api_config",https://github.com/find-xposed-magisk/shell-gpt,
15,General,automated-forensic-orchestrator-for-amazon-ec2,aws-solutions-library-samples/automated-forensic-orchestrator-for-amazon-ec2,Automated Forensics Orchestrator for Amazon EC2 and EKS is a self-service AWS Guidance implementation that enterprise customers can deploy to quickly set up and configure an automated orchestration workflow that enables their Security Operations Centre (SOC) to capture & examine forensic data from EKS & EC2 instances and attached volumes,64,0.7,"User app: user_setup, user_api_config, ui_in_description",https://github.com/aws-solutions-library-samples/automated-forensic-orchestrator-for-amazon-ec2,
16,General,securday,zitterbewegung/securday,A natural language chatbot accessible using streamlit augmented with tools using langchain.,17,0.7,"User app: uses_streamlit, uses_flask, user_setup",https://github.com/zitterbewegung/securday,
17,General,AI-Auto-Video-Generator,BB31420/AI-Auto-Video-Generator,"An AI-powered storytelling video generator that takes user input as a story prompt, generates a story using OpenAI's GPT-3, creates images using OpenAI's DALL-E, adds voiceover using ElevenLabs API, and combines the elements into a video.",196,0.696,"User app: user_setup, user_api_config",https://github.com/BB31420/AI-Auto-Video-Generator,
18,General,telegramGPT,emingenc/telegramGPT,"step-by-step guide on creating your very own AI bot using Python, Telegram, and OpenAI GPT models.",40,0.683,"User app: user_api_config, ui_in_description",https://github.com/emingenc/telegramGPT,
19,General,Planning-Agent,Blattvorhang/Planning-Agent,An intelligent learning assistant system providing personalized learning planning based on user profiles.,6,0.682,"User app: uses_fastapi, user_setup, user_api_config",https://github.com/Blattvorhang/Planning-Agent,
20,General,predictive-content-generator,datarobot-community/predictive-content-generator,,12,0.681,"User app: uses_streamlit, user_setup",https://github.com/datarobot-community/predictive-content-generator,
21,General,AI-IELTS-Speaking,LegendZDY/AI-IELTS-Speaking,AI IELTS Speaking assistant is a fun app to learn English speaking,18,0.679,"User app: uses_streamlit, user_setup, ui_in_description",https://github.com/LegendZDY/AI-IELTS-Speaking,
22,General,Senpwai,SenZmaKi/Senpwai,A desktop app for tracking and batch downloading anime,262,0.674,"User app: user_setup, ui_in_description",https://github.com/SenZmaKi/Senpwai,
23,General,shell-ai,ricklamers/shell-ai,LangChain powered shell command generator and runner CLI,1126,0.669,"User app: user_setup, user_api_config",https://github.com/ricklamers/shell-ai,
24,General,appmap-python,getappmap/appmap-python,AppMap client agent for Python,103,0.669,"User app: uses_django, ui_in_name, ui_in_description",https://github.com/getappmap/appmap-python,
25,General,devops-gpt,devopshobbies/devops-gpt,"An AI-powered assistant that simplifies DevOps tasks with intelligent prompts, reducing repetitive work and enhancing productivity",59,0.668,"User app: uses_fastapi, user_automation",https://github.com/devopshobbies/devops-gpt,
26,General,ChatGPT-in-Slack,seratch/ChatGPT-in-Slack,Swift demonstration of how to build a Slack app that enables end-users to interact with a ChatGPT bot,507,0.667,"User app: user_api_config, ui_in_description",https://github.com/seratch/ChatGPT-in-Slack,
27,General,ChuanhuChatGPT,GaiZhenbiao/ChuanhuChatGPT,"GUI for ChatGPT API and many LLMs. Supports agents, file-based QA, GPT finetuning and query with web search. All with a neat UI.",15434,0.667,"User app: uses_gradio, ui_in_description",https://github.com/GaiZhenbiao/ChuanhuChatGPT,
28,General,Upwork-AI-jobs-applier,kaymen99/Upwork-AI-jobs-applier,"AI tool for automating Upwork job applications using AI agents to find and qualify jobs, write personalized cover letters, and prepare for interviews based on your skills and experience.",78,0.667,"User app: user_api_config, ui_in_name, ui_in_description",https://github.com/kaymen99/Upwork-AI-jobs-applier,
29,General,Robby-chatbot,yvann-ba/Robby-chatbot,"AI chatbot 🤖 for chat with CSV, PDF, TXT files 📄 and YTB videos 🎥 | using Langchain🦜 | OpenAI | Streamlit ⚡",809,0.664,"User app: uses_streamlit, user_setup",https://github.com/yvann-ba/Robby-chatbot,
30,General,snowChat,kaarthik108/snowChat,Chat snowflake - Text to SQL,528,0.662,"User app: uses_streamlit, user_setup",https://github.com/kaarthik108/snowChat,
31,General,openai-cua-sample-app,openai/openai-cua-sample-app,Learn how to use CUA (our Computer Using Agent) via the API on multiple computer environments.,1088,0.66,"User app: user_api_config, ui_in_name",https://github.com/openai/openai-cua-sample-app,
32,General,wcgw,rusiaaman/wcgw,Shell and coding agent on claude desktop app,569,0.655,"User app: user_setup, ui_in_description",https://github.com/rusiaaman/wcgw,
33,General,speech-assistant-openai-realtime-api-python,twilio-samples/speech-assistant-openai-realtime-api-python,,294,0.631,"User app: user_setup, user_api_config",https://github.com/twilio-samples/speech-assistant-openai-realtime-api-python,
34,General,github-cctray,mansab/github-cctray,A lightweight App that provides all Github Workflows of a Repository in CCTray Specification.,11,0.626,"User app: user_setup, ui_in_description",https://github.com/mansab/github-cctray,
35,General,PixelPruner,theallyprompts/PixelPruner,"PixelPruner is a user-friendly image cropping app for AI-generated art. It supports PNG, JPG, JPEG, and WEBP formats. Easily crop, preview, and manage images with interactive previews, thumbnail views, rotation tools, and customizable output folders. Streamline your workflow and achieve perfect crops every time with PixelPruner.",41,0.625,"User app: user_setup, ui_in_description",https://github.com/theallyprompts/PixelPruner,
36,General,gpt-cli,kharvd/gpt-cli,"Command-line interface for ChatGPT, Claude and Bard",720,0.61,"User app: user_api_config, ui_in_description",https://github.com/kharvd/gpt-cli,
37,General,smauto,robotics-4-all/smauto,Domain-Specific Language for the definition and execution of automation apps for smart environments.,7,0.605,"User app: user_setup, ui_in_description",https://github.com/robotics-4-all/smauto,
38,General,extended_openai_conversation,jekalmin/extended_openai_conversation,Home Assistant custom component of conversation agent. It uses OpenAI to control your devices.,1225,0.6,User app: openai_agent_app,https://github.com/jekalmin/extended_openai_conversation,
39,General,Jarvis-Desktop-Voice-Assistant,kishanrajput23/Jarvis-Desktop-Voice-Assistant,Your Own Personal Voice Assistant. It's a mini python project.,389,0.594,User app: user_automation,https://github.com/kishanrajput23/Jarvis-Desktop-Voice-Assistant,
40,General,Aria-UI,AriaUI/Aria-UI,"Open-sourced, Fast and Context-aware Action Grounding from GUI Instructions for GUI/Computer-use Agents",375,0.592,"User app: ui_in_name, ui_in_description",https://github.com/AriaUI/Aria-UI,
